"","AreaCode","grand_mean","health_outcomes","health_outcomes.rank","overall.rank","risk_factors","risk_factors.rank","social_determinants","social_determinants.rank"
"38","E06000038",0.0403223994638358,-0.187583409483563,51,77,0.24751781585333,110,0.0610327920217398,80
"39","E06000039",-0.103272182808061,-0.249600538103475,44,55,0.0842457952832211,86,-0.144461805603931,57
"40","E06000040",0.598832785422248,0.67054163802452,144,144,0.554020539669139,142,0.571936178573086,140
"41","E06000041",0.74795972617541,0.518812837626025,134,149,0.757490816227089,147,0.967575524673116,150
"42","E06000042",0.172213511949887,0.254138925185491,101,100,0.0855215566286666,87,0.176980054035503,101
"43","E06000043",0.0668321969181939,-0.24160785100101,46,79,0.411451111540906,130,0.0306533302146859,79
"44","E06000044",-0.239189435738919,-0.338465006575907,33,42,-0.113909195793374,59,-0.265194104847475,39
"45","E06000045",-0.383737728258562,-0.476046219217803,22,22,-0.338085618912953,27,-0.337081346644929,26
"46","E06000046",-0.0871540984880293,0.120087430643469,80,59,-0.363670275278515,24,-0.0178794508290414,75
"47","E06000047",-0.29054369199364,-0.553467878737911,17,35,-0.269140089973026,37,-0.0490231072699832,71
"48","E06000049",0.319951763705376,0.469157281722465,129,120,0.0368802483180575,81,0.453817761075605,132
"49","E06000050",0.220974444098889,0.205254411171788,94,110,0.101494847952851,88,0.356174073172026,125
"50","E06000051",0.138887748287825,0.451604084658741,127,93,-0.149918757080422,50,0.114977917285158,90
"51","E06000052",0.0398528451773085,0.101600147909822,78,76,-0.107915682314611,61,0.125874069936714,93
"52","E06000054",0.364757344833476,0.520497506649611,135,127,0.178795252359061,102,0.394979275491754,129
"53","E06000055",0.0965400429992773,-0.0910529636614742,59,85,0.283269676829554,114,0.0974034158297521,86
"54","E06000056",0.463084903219343,0.65929584600604,143,136,0.12932970252426,93,0.600629161127728,141
"55","E06000057",0.000582302086500038,0.0255101762309069,68,71,-0.153957090364012,47,0.130193820392605,94
"56","E08000001",-0.286910123556136,-0.400159989397949,26,36,-0.153427064911111,48,-0.307143316359349,30
"57","E08000002",-0.146449285941594,-0.384011936187898,27,49,0.0507457137021182,82,-0.106081635339002,61
"58","E08000003",-0.77202978671308,-1.01423065499779,6,7,-0.454314253343728,17,-0.847544451797722,4
"59","E08000004",-0.295081381846152,-0.154153438019858,55,33,-0.248963997144371,39,-0.482126710374226,13
"60","E08000005",-0.470498741162909,-0.668242405540064,14,15,-0.133699718923769,54,-0.609554099024895,10
"61","E08000006",-0.479577907109212,-0.699554960166481,13,14,-0.457832583740402,16,-0.281346177420752,38
"62","E08000007",0.180627948625795,0.276904549540712,105,102,0.12203748707243,91,0.142941809264242,95
"63","E08000008",-0.3767483491367,-0.427904121865753,25,23,-0.275045362995569,34,-0.427295562548779,19
"64","E08000009",0.35758522770481,0.146222807120637,85,126,0.373915541420101,126,0.552617334573691,138
"65","E08000010",-0.324046346748715,-0.580309691887154,16,27,-0.287502900395038,33,-0.104326447963952,63
"66","E08000011",-0.885112233303347,-1.02686477563476,5,3,-0.757370730202024,6,-0.871101194073258,3
"67","E08000012",-0.77902051389306,-0.98885478673589,7,6,-0.591298061994784,9,-0.756908692948505,6
"68","E08000013",-0.502828887249329,-0.532165280767479,20,13,-0.691507407373956,7,-0.284813973606552,36
"69","E08000014",-0.316143372863289,-0.215090380353916,48,30,-0.350431706072377,26,-0.382908032163574,22
"70","E08000015",-0.224818318890656,-0.299152093912362,36,43,-0.212582770160748,42,-0.162720092598857,53
"71","E08000016",-0.533952170954119,-1.10074875913992,4,10,-0.490537188279631,14,-0.0105705654428006,76
"72","E08000017",-0.298180809596892,-0.292647428847014,38,31,-0.519587088802595,12,-0.0823079111410666,65
"73","E08000018",-0.346659210838812,-0.539331516479494,19,26,-0.396072373159794,22,-0.104573742877148,62
"74","E08000019",-0.170101325858578,-0.0550521758403195,63,47,-0.272061362691219,35,-0.183190439044195,50
"75","E08000021",-0.401653795618479,-0.529791566827609,21,20,-0.361642811443773,25,-0.313527008584054,29
