measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),County Durham,Both,All Ages,Years,2017,68.16390701846207,70.96257311711938,64.89034802769122
HALE (Healthy life expectancy),Gateshead,Both,All Ages,Years,2017,67.80365691715319,70.74700708806084,64.53920666595842
HALE (Healthy life expectancy),Middlesbrough,Both,All Ages,Years,2017,67.45288397600073,70.28986787218955,64.29264936165896
HALE (Healthy life expectancy),South Tyneside,Both,All Ages,Years,2017,67.54181226719122,70.50844019951823,64.1781188640426
HALE (Healthy life expectancy),Sunderland,Both,All Ages,Years,2017,67.74977660979908,70.65178828175566,64.50882092708237
HALE (Healthy life expectancy),Hartlepool,Both,All Ages,Years,2017,68.10563294978397,70.90233555066672,64.87674707482378
HALE (Healthy life expectancy),Cheshire East,Both,All Ages,Years,2017,69.25850798554369,72.26778029875918,65.81688687490713
HALE (Healthy life expectancy),Stockport,Both,All Ages,Years,2017,69.2122752654789,72.23653566826908,65.7908526665796
HALE (Healthy life expectancy),Trafford,Both,All Ages,Years,2017,69.43800458638782,72.52443053397532,65.99406776262254
HALE (Healthy life expectancy),Cheshire West and Chester,Both,All Ages,Years,2017,68.96514962877093,71.97310659548273,65.63275156139457
HALE (Healthy life expectancy),Sefton,Both,All Ages,Years,2017,68.1395965921261,71.12146114928018,64.87435248745675
HALE (Healthy life expectancy),Lancashire,Both,All Ages,Years,2017,68.65271921379798,71.55974945125041,65.2744603913381
HALE (Healthy life expectancy),Cumbria,Both,All Ages,Years,2017,68.78291174433508,71.75731858935728,65.30241813174506
HALE (Healthy life expectancy),Bolton,Both,All Ages,Years,2017,68.58536978932482,71.49903347652061,65.28550364603124
HALE (Healthy life expectancy),Wirral,Both,All Ages,Years,2017,67.7601571735659,70.68445097982006,64.5501917586902
HALE (Healthy life expectancy),Bury,Both,All Ages,Years,2017,68.09927204058566,70.84985676454298,64.90518122094744
HALE (Healthy life expectancy),St Helens,Both,All Ages,Years,2017,67.39989452320177,70.30568028298136,64.27837683922753
HALE (Healthy life expectancy),Warrington,Both,All Ages,Years,2017,68.36155574199461,71.37912481295093,64.96056512231857
HALE (Healthy life expectancy),Oldham,Both,All Ages,Years,2017,67.73222716045603,70.61526710278073,64.57934745392765
HALE (Healthy life expectancy),Rochdale,Both,All Ages,Years,2017,67.83633380253202,70.6626108122122,64.51837417006007
HALE (Healthy life expectancy),Wigan,Both,All Ages,Years,2017,67.8873714813395,70.73898608079763,64.74087202557304
HALE (Healthy life expectancy),Halton,Both,All Ages,Years,2017,68.01236774488764,70.96578589656144,64.76569446920624
HALE (Healthy life expectancy),Liverpool,Both,All Ages,Years,2017,67.35964772880091,70.16802600209418,64.13440511758098
HALE (Healthy life expectancy),Tameside,Both,All Ages,Years,2017,68.16117120915641,70.97066827786256,65.03036374954856
HALE (Healthy life expectancy),Salford,Both,All Ages,Years,2017,67.51750931163947,70.46992452569809,64.34923615783768
HALE (Healthy life expectancy),Blackburn with Darwen,Both,All Ages,Years,2017,68.02053807761598,70.91381600257074,64.89379355177793
HALE (Healthy life expectancy),Knowsley,Both,All Ages,Years,2017,67.07579467147765,69.91283949139117,63.88609845350073
HALE (Healthy life expectancy),Blackpool,Both,All Ages,Years,2017,66.50478610416388,69.20013734332056,63.34146491776861
HALE (Healthy life expectancy),Manchester,Both,All Ages,Years,2017,67.02246429950621,69.7232284096936,63.944808854046116
HALE (Healthy life expectancy),North Yorkshire,Both,All Ages,Years,2017,69.87607842423965,72.74883291289942,66.57792140429287
HALE (Healthy life expectancy),East Riding of Yorkshire,Both,All Ages,Years,2017,69.67005799675249,72.68820920944457,66.31005046032911
HALE (Healthy life expectancy),York,Both,All Ages,Years,2017,69.58928894691877,72.44013671163152,66.19669230387649
HALE (Healthy life expectancy),North East Lincolnshire,Both,All Ages,Years,2017,68.7640091789314,71.69545059864092,65.3800965650762
HALE (Healthy life expectancy),Calderdale,Both,All Ages,Years,2017,68.71700176175835,71.60152897691408,65.53195961166504
HALE (Healthy life expectancy),North Lincolnshire,Both,All Ages,Years,2017,68.96680963435216,71.93697524890838,65.7996208152274
HALE (Healthy life expectancy),Bradford,Both,All Ages,Years,2017,68.79930769332405,71.63539238815704,65.66002025900924
HALE (Healthy life expectancy),Kirklees,Both,All Ages,Years,2017,69.50998122952271,72.3964601456433,66.22236223213632
HALE (Healthy life expectancy),Leeds,Both,All Ages,Years,2017,68.75863821893793,71.69238451381149,65.42507945585145
HALE (Healthy life expectancy),Sheffield,Both,All Ages,Years,2017,68.97940871500744,71.89573627330378,65.63114042156911
HALE (Healthy life expectancy),Wakefield,Both,All Ages,Years,2017,68.70804599160742,71.60314087116751,65.40331149403488
HALE (Healthy life expectancy),Rotherham,Both,All Ages,Years,2017,68.07750532965565,70.91537405681258,64.87944131325644
HALE (Healthy life expectancy),Doncaster,Both,All Ages,Years,2017,68.30149578688544,71.13211506183713,65.01152746980206
HALE (Healthy life expectancy),"Kingston upon Hull, City of",Both,All Ages,Years,2017,67.6655887811312,70.44943327634206,64.5413782245278
HALE (Healthy life expectancy),Barnsley,Both,All Ages,Years,2017,68.53899911629011,71.35835014747111,65.31209792472364
HALE (Healthy life expectancy),Northamptonshire,Both,All Ages,Years,2017,69.34772610746158,72.2652515451025,65.9454009738753
HALE (Healthy life expectancy),Leicestershire,Both,All Ages,Years,2017,70.17018859715054,73.19401940073828,66.84410256742919
HALE (Healthy life expectancy),Lincolnshire,Both,All Ages,Years,2017,69.37834530173704,72.29058366512308,66.11355401429554
HALE (Healthy life expectancy),Rutland,Both,All Ages,Years,2017,70.56620164509937,73.67052023745418,67.1370744525384
HALE (Healthy life expectancy),Derby,Both,All Ages,Years,2017,68.8421889537328,71.7672902424917,65.60577348548838
HALE (Healthy life expectancy),Derbyshire,Both,All Ages,Years,2017,69.3926468131062,72.18367900170156,66.07301521449764
HALE (Healthy life expectancy),Nottinghamshire,Both,All Ages,Years,2017,69.35228233068305,72.25579227789747,66.14396450083723
HALE (Healthy life expectancy),Nottingham,Both,All Ages,Years,2017,68.58573043690274,71.45951972161026,65.47484391046825
HALE (Healthy life expectancy),Leicester,Both,All Ages,Years,2017,69.10369477136125,71.92570468773128,65.7863320057668
HALE (Healthy life expectancy),Warwickshire,Both,All Ages,Years,2017,69.51319700950702,72.45110688136442,66.18546269236279
HALE (Healthy life expectancy),"Herefordshire, County of",Both,All Ages,Years,2017,69.47825200624193,72.53704491622925,66.08826755641617
HALE (Healthy life expectancy),Solihull,Both,All Ages,Years,2017,69.90096009352582,72.88943441524917,66.49839790648434
HALE (Healthy life expectancy),Shropshire,Both,All Ages,Years,2017,69.77668834903922,72.65196379146748,66.358534345624
HALE (Healthy life expectancy),Worcestershire,Both,All Ages,Years,2017,69.44117522957886,72.40777088055184,65.90434623621316
HALE (Healthy life expectancy),Staffordshire,Both,All Ages,Years,2017,69.07069940820146,71.91178886146551,65.74367246152752
HALE (Healthy life expectancy),Dudley,Both,All Ages,Years,2017,68.96602478581791,71.96338483595422,65.67488058527307
