"","Stand dev","Mean","n","Median","CoeffofVariation","Minimum","Maximun","Upper Quantile.100%","LowerQuartile.0%"
"X92447",8.07517954474276,39.1298478629403,150,39.6203894668474,0.206368794814322,18.1564245810056,54.8872180451128,54.8872180451128,18.1564245810056
"X92477",55.5548507693852,162.365076566467,150,161.9110401,0.342160099599023,56.93950178,297.2725422,297.2725422,56.93950178
"X92543",9.69568822781417,91.0632400257644,150,93.7,0.106472032239035,56.9,102.36105675125,102.36105675125,56.9
"X92785",2.29554972628808,94.4646666666667,150,94.8,0.0243006174402572,86.3,98.8,98.8,86.3
"X92899",4.15706379772364,22.2386666666667,150,21.45,0.186929543035717,13.3,33.9,33.9,13.3
"X93131",8.06120897686881,19.38666873328,150,19.51712197,0.415811973050872,1.290322581,36.20689655,36.20689655,1.290322581
"X93175",11.0027050146356,56.7470849743333,150,55.84011676,0.193890223957973,32.03378817,100.2087683,100.2087683,32.03378817
"X93376",2.45544804719044,14.0622904163934,150,13.8904889473583,0.174612241283821,8.97433758698418,19.8532339631789,19.8532339631789,8.97433758698418
"X93469",9.12859946950011,87.873676556173,150,90.0693282769905,0.103883208570028,33.1540342298289,98.9526053940822,98.9526053940822,33.1540342298289
"X93470",14.9209619117929,84.9785625575173,150,89.0119303024258,0.175585011828056,14.0939597315436,112.741714995471,112.741714995471,14.0939597315436
"X93471",15.8618381272217,84.0371232419198,150,88.6278176740474,0.188747990356117,9.95455529106253,99.7788833609729,99.7788833609729,9.95455529106253
"X93472",16.4152719849517,77.3874912336226,150,80.4706522228684,0.212117898167757,0.939322574925001,101.133182884859,101.133182884859,0.939322574925001
"X93494",3.27761889345577,82.2736,150,82.395,0.0398380390970588,74.31,94.8,94.8,74.31
"X212",0.49006366308646,1.7311727976043,150,1.77666479937227,0.283081887472261,0.719098491526782,2.6739313975867,2.6739313975867,0.719098491526782
"X219",2.36426263498894,13.8285463694561,150,14.0005997063024,0.170969715241439,7.48226141526474,18.0413579523372,18.0413579523372,7.48226141526474
"X848",2.09900737418399,9.83541214277877,150,9.74729634837868,0.213413260543951,5.3751744588846,15.5697660119174,15.5697660119174,5.3751744588846
"X1203",15.5969027618221,60.030739682034,150,58.6405951365592,0.259815268717902,33.5222248046041,106.632189167699,106.632189167699,33.5222248046041
"X11001",11.7626991292624,37.9416704339629,150,36.1930171218866,0.310020591996214,16.9873173411595,79.6228795931243,79.6228795931243,16.9873173411595
"X20601.1",2.8866914619866,22.5203677182404,150,22.5936361484782,0.128181364447639,13.9206090266449,29.6173044925125,29.6173044925125,13.9206090266449
"X20602",4.36686145063147,34.8077070534838,150,34.6716789270626,0.125456739908824,21.7133620689655,44.4963503649635,44.4963503649635,21.7133620689655
"X30101",1.02642415667036,5.09222261243045,150,5.0234212901102,0.201567023830574,3.10866727688629,7.02901139752703,7.02901139752703,3.10866727688629
"X90804",7.97367630348705,17.11189030676,150,15.692816395,0.465972850488474,2.584046099,41.65738256,41.65738256,2.584046099
